scenario,condition,run,t_start,t_end,duration_ms,outcome,detail
t1,scale=10;changes=1;events=on,1,2026-07-01T09:00:00.000000000Z,2026-07-01T09:00:00.100000000Z,100,ok,
t1,scale=10;changes=1;events=on,2,2026-07-01T09:00:01.100000000Z,2026-07-01T09:00:01.205000000Z,105,ok,
t1,scale=10;changes=1;events=on,3,2026-07-01T09:00:02.205000000Z,2026-07-01T09:00:02.315000000Z,110,ok,
t1,scale=10;changes=1;events=on,4,2026-07-01T09:00:03.315000000Z,2026-07-01T09:00:03.430000000Z,115,ok,
t1,scale=10;changes=1;events=on,5,2026-07-01T09:00:04.430000000Z,2026-07-01T09:00:04.550000000Z,120,ok,
t1,scale=10;changes=1;events=on,6,2026-07-01T09:00:05.550000000Z,2026-07-01T09:00:05.675000000Z,125,ok,
t1,scale=10;changes=1;events=on,7,2026-07-01T09:00:06.675000000Z,2026-07-01T09:00:06.805000000Z,130,ok,
t1,scale=10;changes=1;events=on,8,2026-07-01T09:00:07.805000000Z,2026-07-01T09:00:07.940000000Z,135,ok,
t1,scale=10;changes=1;events=on,9,2026-07-01T09:00:08.940000000Z,2026-07-01T09:00:09.080000000Z,140,ok,
t1,scale=10;changes=1;events=on,10,2026-07-01T09:00:10.080000000Z,2026-07-01T09:00:10.225000000Z,145,ok,
t1,scale=10;changes=1;events=on,11,2026-07-01T09:00:11.225000000Z,2026-07-01T09:00:11.375000000Z,150,ok,
t1,scale=10;changes=1;events=on,12,2026-07-01T09:00:12.375000000Z,2026-07-01T09:00:12.530000000Z,155,ok,
t1,scale=10;changes=1;events=on,13,2026-07-01T09:00:13.530000000Z,2026-07-01T09:00:18.530000000Z,5000,timeout,
t1,scale=10;changes=1;events=on,14,2026-07-01T09:00:19.530000000Z,2026-07-01T09:00:19.610000000Z,80,error,
t1,scale=50;changes=5;events=off,1,2026-07-01T09:00:20.610000000Z,2026-07-01T09:00:20.810000000Z,200,ok,
t1,scale=50;changes=5;events=off,2,2026-07-01T09:00:21.810000000Z,2026-07-01T09:00:22.020000000Z,210,ok,
t1,scale=50;changes=5;events=off,3,2026-07-01T09:00:23.020000000Z,2026-07-01T09:00:23.240000000Z,220,ok,
t1,scale=50;changes=5;events=off,4,2026-07-01T09:00:24.240000000Z,2026-07-01T09:00:24.470000000Z,230,ok,
t1,scale=50;changes=5;events=off,5,2026-07-01T09:00:25.470000000Z,2026-07-01T09:00:25.710000000Z,240,ok,
t1,scale=50;changes=5;events=off,6,2026-07-01T09:00:26.710000000Z,2026-07-01T09:00:26.960000000Z,250,ok,
t1,scale=50;changes=5;events=off,7,2026-07-01T09:00:27.960000000Z,2026-07-01T09:00:28.220000000Z,260,ok,
t1,scale=50;changes=5;events=off,8,2026-07-01T09:00:29.220000000Z,2026-07-01T09:00:29.490000000Z,270,ok,
